,5
176,133.8377633
177,139.3140672
178,149.7693132
179,154.6354963
180,298.319936
181,317.8858882
182,271.0077789
183,253.4204883
184,324.5541172
185,287.3525934
186,308.1324639
187,375.7383636
188,493.4849558
189,437.589171
190,513.0451531
191,461.9770978
192,464.9442549
193,568.0591883
194,746.2531128
195,771.227327
196,638.3678837
197,666.499311
198,463.6350951
199,483.9094222
200,866.819293
201,808.7674443
202,859.0230551
203,881.0336424
204,958.6270084
205,901.176183
206,897.1986847
207,917.5507922
208,999.7783594
209,949.7563654
210,1005.796583
211,969.6308426
212,949.7507124
213,964.1793667
214,1004.996826
215,992.4374222
216,1003.559975
217,1023.931266
218,1064.1982
219,1053.181122
220,1074.426867
221,1055.008493
222,1074.567947
223,1088.36101
224,1088.642508
225,1080.620282
226,1090.588518
227,1090.59434
228,1084.963377
229,1071.067144
230,1112.969723
231,1126.801423
232,1126.181326
233,1122.17392
234,1142.231493
235,1151.566644
236,1127.198742
237,1128.695032
238,1130.793697
239,1105.973103
240,1095.956673
241,1086.936311
242,1193.292397
243,1127.490481
244,1175.170134
245,1157.854992
246,1176.853828
247,1181.420006
248,1195.912289
249,1187.304302
250,1215.636862
251,1200.804133
252,1213.203476
253,1200.656251
254,1104.443104
255,1186.203991
256,1234.592829
257,1199.290194
258,1189.413155
259,1221.479034
260,1112.277551
261,924.375107
262,953.4666805
263,1011.076019
264,1254.60594
265,1214.208723
266,1039.057858
267,1095.400483
268,1201.867645
269,1204.347206
270,1215.386204
271,1236.878017
272,1236.014326
273,1237.779801
274,1173.866061
275,1161.172138
276,1132.814468
277,1132.556502
278,1109.194022
279,1037.511722
280,1047.956993
281,1105.126172
282,800.2453003
283,649.3910071
284,478.1939692
285,413.5112043
286,775.3988791
287,647.6264983
288,719.9556236
289,776.7478057
290,874.8404007
291,813.7571897
292,385.31497
293,500.8283465
294,337.918524
295,329.8214125
296,353.6037991
297,298.7946057
298,200.431514
299,192.4698888
300,266.8508972
301,258.062488
302,306.1115508
303,327.0053648
304,320.8421926
305,326.9508495
306,139.8122721
307,168.4524095
308,317.1571722
309,312.1061093
310,159.367986
311,147.8770964
312,128.2536364
313,126.8044913
314,117.7595836
315,122.0093993
316,131.6157377
317,128.8087513
318,109.9274549
319,102.4293999
320,81.2575686
321,74.22524671
322,51.5410375
323,42.61515592
324,16.05784146
325,10.1708149
326,14.43617357
327,23.93685083
328,63.02132666
329,74.86300054
330,91.45133638
331,86.9214948
332,89.3687129
333,95.09544876
334,127.9822019
335,128.2569841
336,140.357657
337,134.4022959
338,124.3273495
339,131.4097813
340,183.5129426
341,189.9065647
342,190.8823664
343,235.7779793
344,232.8801801
345,310.4388788
346,247.2379689
347,298.8973647
348,265.6857052
349,385.8353063
350,262.0572181
351,275.2797989
352,519.4607906
353,367.6893825
354,418.3820376
355,422.4628995
356,444.8703694
357,438.7772104
358,445.4508009
359,413.9113157
360,217.9955125
361,199.3939363
362,147.5663266
363,137.6591955
364,114.8647083
365,112.7623579
366,111.4184518
367,111.9038466
368,118.6865052
369,122.8862044
370,143.1474891
371,155.8687258
372,192.5329833
373,203.4825813
374,231.2915804
375,245.4381812
376,313.5281794
377,348.6843532
378,520.394217
379,612.5786111
380,848.0491476
381,956.1835788
382,944.801075
383,1000.547276
384,981.4746819
385,1034.145229
386,735.4299536
387,697.6504365
388,689.0859957
389,655.1907522
390,572.3695459
391,611.9061637
392,566.2677941
393,613.0372259
394,859.240284
395,948.1193586
396,1063.593569
397,1058.863222
398,1080.640463
399,1080.200682
400,1133.826759
401,1130.133897
402,1136.819548
403,1141.028007
404,1147.248379
405,1149.670006
406,1084.143501
407,670.6002733
408,797.2942085
409,951.483024
410,498.9784789
411,429.3546121
412,230.6371307
413,197.4674699
414,121.4867487
415,115.0283429
