,功率
1403,1553.3
1404,1541.3
1405,1562.3
1406,1549.5
1407,1547.6
1408,1547.2
1409,1555.8
1410,1548.8
1411,1553.3
1412,1547.4
1413,1558.1
1414,1550.1
1415,1545.9
1416,1393.4
1417,1545.7
1418,1308.3
1419,1194.0
1420,1555.2
1421,1397.6
1422,1556.2
1423,1541.1
1424,1559.6
1425,1533.0
1426,1444.8
1427,1558.5
1428,1281.0
1429,1412.4
1430,1542.1
1431,1174.0
1432,1493.5
1433,1038.6
1434,1537.7
1435,1548.8
1436,1120.3
1437,1557.1
1438,1087.0
1439,1297.8
1440,1200.1
1441,1547.6
1442,1330.2
1443,1540.8
1444,1243.5
1445,1283.5
1446,1544.0
1447,1549.1
1448,1144.3
1449,1377.2
1450,1548.6
1451,1546.1
1452,1371.5
1453,1549.3
1454,1536.8
1455,1538.9
1456,1565.0
1457,1545.9
1458,1538.5
1459,1543.1
1460,1505.9
1461,1560.6
1462,1545.1
1463,1559.8
1464,1555.6
1465,1530.9
1466,1527.4
1467,1548.2
1468,1554.5
1469,1549.3
1470,1546.9
1471,1548.4
1472,1545.1
1473,1558.5
1474,1546.9
1475,1536.0
1476,1556.2
1477,1547.1
1478,1551.6
1479,1546.5
1480,1538.5
1481,1539.2
1482,1550.3
1483,1564.0
1484,1564.0
1485,1543.8
1486,1548.6
1487,1545.0
1488,1536.6
1489,1538.9
1490,1547.1
1491,1551.2
1492,1556.6
1493,1554.1
1494,1554.9
1495,1540.4
1496,1553.9
1497,1551.6
1498,1538.7
1499,1554.9
1500,1538.9
1501,1544.8
1502,1559.4
1503,1531.6
1504,1554.5
1505,1545.5
1506,1543.1
1507,1539.2
1508,1553.1
1509,1552.2
1510,1545.9
1511,1554.5
1512,1561.5
1513,1549.9
1514,1546.5
1515,1541.9
1516,1542.9
1517,1558.7
1518,1546.9
1519,1545.1
1520,1543.4
1521,1560.2
1522,1538.5
1523,1545.5
1524,1551.6
1525,1567.0
1526,1353.8
1527,1369.8
1528,1554.5
1529,1522.7
1530,1560.0
1531,1413.0
1532,1406.3
1533,1542.3
1534,1555.8
1535,1549.5
1536,1537.0
1537,1545.5
1538,1548.8
1539,1556.0
1540,1550.1
1541,1533.5
1542,1548.4
1543,1546.5
1544,1551.0
1545,1549.0
1546,1558.1
1547,1550.7
1548,1550.5
1549,1551.2
1550,1548.6
1551,1543.6
1552,1547.1
1553,1564.4
1554,1565.7
1555,1540.2
1556,1549.9
1557,1554.9
1558,1535.2
1559,1548.8
1560,1557.0
1561,1546.1
1562,1531.1
1563,1562.9
1564,1546.5
1565,1542.1
1566,1545.1
1567,1553.7
1568,1562.9
1569,1561.0
1570,1544.2
1571,1539.4
1572,1569.3
1573,1538.9
1574,1555.0
1575,1535.1
1576,1547.8
1577,1537.3
1578,1540.0
1579,1543.8
1580,1552.6
1581,1556.4
1582,1554.1
1583,1540.2
1584,1551.8
1585,1545.7
1586,1554.5
1587,1544.0
1588,1548.6
1589,1547.2
1590,1561.7
1591,1562.1
1592,1537.7
1593,1551.2
1594,1546.7
1595,1553.3
1596,1553.3
1597,1563.6
1598,1548.4
1599,1547.6
1600,1533.5
1601,1555.0
1602,1559.8
1603,1537.7
1604,1537.9
1605,1561.0
1606,1562.5
1607,1562.7
1608,1555.8
1609,1543.8
1610,1549.7
1611,1558.7
1612,1549.9
1613,1544.8
1614,1537.1
1615,1543.2
1616,1564.0
1617,1544.0
1618,1552.0
1619,1543.8
1620,1515.2
1621,1530.9
1622,1553.5
1623,1082.6
1624,1561.1
1625,1532.2
1626,1223.9
1627,1558.9
1628,1539.6
1629,1551.0
1630,1545.5
1631,1542.1
1632,1558.3
1633,1276.3
1634,1226.4
1635,1446.3
1636,1545.7
1637,1553.7
1638,1551.6
1639,1546.7
1640,1561.1
1641,1533.5
1642,1542.1
1643,1557.1
1644,1538.9
1645,1558.9
1646,1541.7
1647,922.6
1648,1440.4
1649,1243.9
1650,1136.3
1651,757.1
1652,1114.2
1653,1180.5
1654,802.3
1655,881.1
1656,1264.3
1657,734.5
1658,1371.7
1659,987.9
1660,1535.1
1661,869.5
1662,785.1
1663,1155.7
1664,668.6
1665,1533.9
1666,1262.5
1667,1141.1
1668,1058.2
1669,831.4
1670,746.9
1671,1311.9
1672,1429.7
1673,857.3
1674,1051.6
1675,1079.9
1676,842.3
1677,676.8
1678,726.9
1679,661.7
1680,855.6
