,mw
699,691.822
700,706.981
701,755.758
702,827.356
703,856.117
704,844.824
705,804.8
706,723.925
707,658.845
708,659.62
709,680.706
710,695.28
711,756.041
712,820.522
713,883.046
714,929.129
715,973.08
716,1008.333
717,950.16
718,873.179
719,797.97
720,750.166
721,707.049
722,688.84
723,682.971
724,693.585
725,751.633
726,814.466
727,855.917
728,859.027
729,865.546
730,867.601
731,858.374
732,840.767
733,827.217
734,824.158
735,763.217
736,845.587
737,886.943
738,911.302
739,951.49
740,992.521
741,951.051
742,873.374
743,802.248
744,763.678
745,720.922
746,694.936
747,705.948
748,705.771
749,764.293
750,824.628
751,860.612
752,845.731
753,814.072
754,744.589
755,697.547
756,692.526
757,719.551
758,769.171
759,832.965
760,935.211
761,1039.273
762,1065.066
763,1080.914
764,1106.313
765,1036.711
766,935.805
767,832.907
768,785.609
769,728.417
770,699.207
771,686.536
772,693.949
773,746.707
774,823.079
775,864.867
776,872.705
777,852.688
778,850.71
779,833.43
780,824.599
781,794.086
782,732.961
783,706.625
784,788.176
785,856.945
786,915.229
787,965.286
788,989.354
789,970.961
790,905.663
791,832.986
792,771.448
793,731.395
794,711.406
795,699.499
796,690.572
797,711.201
798,729.848
799,786.347
800,802.036
801,819.741
802,843.214
803,806.969
804,761.778
805,735.196
806,722.896
807,760.052
808,854.113
809,907.026
810,951.961
811,953.268
812,992.777
813,952.31
814,900.185
815,836.614
816,772.77
817,731.691
818,711.442
819,689.708
820,700.599
821,696.356
822,707.876
823,738.591
824,799.473
825,822.55
826,851.706
827,872.515
828,859.249
829,861.583
830,855.465
831,866.689
832,892.427
833,917.594
834,938.316
835,958.371
836,971.042
837,925.995
838,857.202
839,794.73
840,739.49
841,702.715
842,703.639
843,709.972
844,704.63
845,766.81
846,828.451
847,839.938
848,809.06
849,742.191
850,684.896
851,649.946
852,647.714
853,668.898
854,726.211
855,804.153
856,851.579
857,882.223
858,920.705
859,967.994
860,1015.753
861,969.173
862,898.16
863,825.704
864,743.448
865,714.825
866,704.653
867,697.836
868,711.077
869,751.059
870,813.257
871,833.813
872,826.761
873,777.761
874,732.172
875,708.426
876,691.738
877,695.902
878,723.195
879,771.819
880,837.787
881,926.843
882,988.229
883,1020.202
884,1068.818
885,1013.582
886,915.693
887,856.064
888,778.251
889,735.564
890,720.096
891,713.91
892,721.973
893,775.241
894,832.466
895,855.736
896,872.859
897,841.221
898,810.822
899,793.359
900,784.781
901,786.389
902,809.454
903,865.83
904,901.509
905,928.117
906,955.125
907,978.442
908,1017.712
909,976.708
910,905.612
911,818.454
912,751.932
913,723.535
914,719.504
915,703.781
916,716.02
917,758.536
918,834.349
919,890.887
920,892.221
921,883.065
922,879.05
923,850.918
924,853.809
925,850.186
926,833.197
927,783.162
928,812.892
929,861.672
930,916.625
931,953.237
932,1018.023
933,978.058
934,903.072
935,832.526
936,739.466
937,736.057
938,716.662
939,709.97
940,719.618
941,765.583
942,817.757
943,853.915
944,870.842
945,859.396
946,899.565
947,934.99
948,902.514
949,803.55
950,787.061
951,834.085
952,913.545
953,990.85
954,1024.091
955,1056.989
956,1090.627
957,1042.456
958,975.175
959,907.666
960,850.846
961,793.692
962,764.238
963,748.019
964,747.396
965,749.826
966,753.52
967,775.428
968,780.462
969,779.269
970,760.254
971,733.837
972,740.852
973,735.484
974,785.92
975,835.646
976,879.605
977,922.291
978,949.998
979,970.525
980,989.901
981,958.664
982,896.342
983,840.183
984,771.185
985,725.159
986,707.6
987,693.418
988,681.649
989,700.878
990,716.084
991,760.21
992,821.592
993,868.846
994,895.852
995,901.11
996,898.516
997,901.077
998,894.522
999,881.391
1000,888.986
1001,882.31
1002,911.301
1003,943.197
1004,973.843
1005,936.116
1006,878.765
1007,814.213
1008,778.86
1009,754.083
1010,737.064
1011,730.909
1012,742.0
1013,788.529
1014,894.393
1015,920.381
1016,928.783
1017,930.621
1018,967.339
1019,939.495
1020,956.221
1021,896.629
1022,904.64
1023,941.633
1024,948.701
1025,975.658
1026,1001.55
1027,1024.639
1028,1053.617
1029,1015.003
1030,934.082
1031,862.119
1032,806.237
1033,777.939
1034,762.58
1035,755.731
1036,766.112
1037,815.907
1038,881.128
1039,934.794
1040,927.123
1041,910.197
1042,886.174
1043,879.351
1044,883.522
1045,892.693
1046,837.969
1047,832.95
1048,870.625
1049,933.174
1050,982.181
1051,1017.394
1052,1049.082
1053,1006.114
1054,924.907
1055,851.853
1056,802.14
1057,790.215
1058,759.513
1059,758.358
1060,781.189
1061,829.533
1062,883.858
1063,878.286
1064,824.63
1065,744.956
1066,692.237
1067,670.165
1068,652.513
1069,687.526
1070,706.6
1071,755.633
1072,804.918
1073,888.83
1074,951.409
1075,1009.537
1076,1050.15
1077,1002.281
1078,922.2
1079,846.534
1080,788.914
1081,754.178
1082,733.057
1083,723.081
1084,734.697
1085,774.317
1086,845.751
1087,914.575
1088,928.341
1089,844.37
1090,720.791
1091,705.225
1092,715.684
1093,752.312
1094,776.836
1095,814.438
1096,861.545
1097,928.249
1098,984.257
1099,1030.748
1100,1058.982
1101,1030.354
1102,935.135
1103,861.435
1104,783.285
1105,753.282
1106,747.594
1107,727.103
1108,739.829
1109,765.862
1110,821.647
1111,839.755
1112,826.603
1113,798.64
1114,789.983
1115,787.108
1116,844.283
1117,946.926
1118,958.904
1119,917.19
1120,991.278
1121,1083.6
1122,1122.739
1123,1149.534
1124,1169.546
1125,1139.92
1126,1059.308
1127,963.983
1128,888.662
1129,830.688
1130,792.724
1131,766.097
1132,762.039
1133,766.171
1134,781.143
1135,809.217
1136,806.254
1137,764.076
1138,765.729
1139,758.103
1140,770.883
1141,799.16
1142,837.661
1143,867.153
1144,932.105
1145,999.189
1146,1059.855
1147,1069.362
1148,1083.111
1149,1047.433
1150,974.796
1151,901.163
1152,835.115
1153,767.107
1154,753.396
1155,732.166
1156,740.632
1157,718.913
1158,710.344
1159,715.801
1160,719.329
1161,708.06
1162,731.641
1163,751.786
1164,813.343
1165,890.094
1166,926.559
1167,976.718
1168,1057.387
1169,1129.792
1170,1169.598
1171,1171.412
1172,1179.751
1173,1117.418
1174,1022.592
1175,917.746
1176,925.024
1177,865.961
1178,824.957
1179,809.104
1180,823.263
1181,863.672
1182,930.472
1183,991.314
1184,1015.086
1185,1022.946
1186,1065.142
1187,1116.377
1188,1162.019
1189,1220.727
1190,1436.706
1191,1429.701
1192,1440.489
1193,1498.602
1194,1515.694
1195,1485.537
1196,1455.57
1197,1378.823
1198,1235.637
1199,1091.08
1200,987.378
1201,906.338
1202,850.704
1203,814.796
1204,816.787
1205,830.801
1206,889.253
1207,899.209
1208,875.468
1209,833.431
1210,784.564
1211,779.262
1212,746.209
1213,780.894
1214,831.123
1215,878.562
1216,959.601
1217,1067.706
1218,1068.833
1219,1085.331
1220,1101.693
1221,1067.283
1222,956.538
1223,867.947
1224,797.422
1225,763.067
1226,736.091
1227,728.462
1228,735.938
1229,778.437
1230,831.286
1231,853.576
1232,820.356
1233,796.961
1234,763.706
1235,774.679
1236,763.377
1237,783.366
1238,846.08
1239,928.446
1240,971.867
1241,1035.259
1242,1084.135
1243,1098.061
1244,1118.658
1245,1078.339
1246,983.39
1247,883.307
1248,818.0
1249,776.993
1250,759.051
1251,752.387
1252,764.148
1253,804.093
1254,868.931
1255,909.367
1256,936.296
1257,909.7
1258,909.37
1259,926.551
1260,966.594
1261,937.215
1262,930.118
1263,992.125
1264,1052.791
1265,1085.488
1266,1115.776
1267,1141.508
1268,1180.948
1269,1163.075
1270,1074.345
1271,981.715
1272,896.671
1273,860.904
1274,832.461
1275,823.496
1276,830.614
1277,859.195
1278,919.737
1279,965.381
1280,960.181
1281,929.79
1282,910.092
1283,902.345
1284,915.409
1285,948.675
1286,1003.833
1287,1088.064
1288,1192.837
1289,1288.534
1290,1342.693
1291,1331.398
1292,1320.59
1293,1282.546
