date,site1,site2,site3,site4,site5,site6,site7,OT
2017/10/1 0:30,4986.1,6800.8,6044.3,6164.4,6418.3,7801.7,7667.6,7487.8
2017/10/1 0:45,5007.6,6827.1,6070.4,6190.9,6446.7,7826.5,7701.4,7520.7
2017/10/1 1:00,5030,6854.1,6097.8,6218.8,6476.5,7851.9,7737,7555
2017/10/1 1:15,5053,6881.3,6126.2,6247.7,6507.3,7877.6,7774.5,7590.6
2017/10/1 1:30,5076.1,6908.4,6155.2,6277.2,6538.5,7903.5,7813.1,7627
2017/10/1 1:45,5098.9,6935.3,6184.2,6306.8,6569.7,7929.4,7852.2,7663.5
2017/10/1 2:00,5120.4,6961.2,6211.7,6334.9,6599.2,7954.5,7889.8,7698.6
2017/10/1 2:15,5141.3,6986.5,6238.1,6361.8,6627.6,7979.2,7925.4,7732.1
2017/10/1 2:30,5161.8,7011.4,6263.8,6387.9,6655.3,8003.4,7959.7,7764.8
2017/10/1 2:45,5182.2,7036.1,6289.3,6413.8,6682.9,8027.5,7993.4,7797
2017/10/1 3:00,5202.5,7060.4,6314.6,6439.6,6710.2,8051.3,8026.5,7829
2017/10/1 3:15,5222.6,7084.6,6339.7,6465.2,6737.4,8074.9,8059.3,7860.9
2017/10/1 3:30,5242.6,7108.6,6364.8,6490.7,6764.5,8098.5,8091.8,7892.6
2017/10/1 3:45,5262.5,7132.4,6389.7,6516.1,6791.5,8121.9,8124.1,7924.1
2017/10/1 4:00,5284.6,7157.8,6417.4,6544.3,6821.4,8146.9,8159.5,7958.4
2017/10/1 4:15,5307.8,7183.9,6447.4,6574.8,6853.5,8172.7,8198.5,7995.6
2017/10/1 4:30,5331.4,7210.3,6478.5,6606.5,6886.5,8199,8240,8034.5
2017/10/1 4:45,5354.6,7236.4,6509.9,6638.5,6919.6,8225.4,8282.4,8073.7
2017/10/1 5:00,5375.6,7260.9,6538.5,6667.7,6949.7,8250.5,8322,8110.4
2017/10/1 5:15,5395.1,7284.3,6564.7,6694.4,6977.3,8274.7,8357.8,8143.9
2017/10/1 5:30,5414.6,7307.7,6590,6720.2,7004.3,8298.8,8391.5,8176.1
2017/10/1 5:45,5434,7330.9,6615,6745.6,7031.1,8322.7,8424,8207.7
2017/10/1 6:00,5452,7352.6,6638.2,6769.3,7056,8345.1,8454,8237.6
2017/10/1 6:15,5468.8,7372.9,6659.8,6791.2,7079.2,8365.4,8481.5,8265.3
2017/10/1 6:30,5484.7,7391.9,6680.1,6811.9,7101.3,8383.7,8507,8291.5
2017/10/1 6:45,5500.1,7409.8,6699.7,6831.9,7122.6,8400.1,8531.5,8316.6
2017/10/1 7:00,5517.4,7428.9,6721.7,6854.2,7146.4,8417.5,8558.4,8343.8
2017/10/1 7:15,5536.3,7449.4,6745.9,6878.9,7172.6,8436.8,8588.8,8374
2017/10/1 7:30,5555.9,7470.9,6771.7,6905.1,7200.2,8458,8621.5,8406.1
2017/10/1 7:45,5575.6,7493.1,6798.1,6931.9,7228.2,8480.7,8655.3,8439.2
2017/10/1 8:00,5594.6,7515.3,6823.6,6957.9,7255.2,8504.2,8688.2,8471.4
2017/10/1 8:15,5613.4,7538.1,6848.5,6983.3,7281.8,8529.3,8719.6,8502.9
2017/10/1 8:30,5632.7,7561.9,6873.4,7008.7,7308.4,8556.2,8750.2,8534.3
2017/10/1 8:45,5652.6,7586.8,6898.9,7034.6,7335.7,8585,8780.6,8566.2
2017/10/1 9:00,5669.4,7607,6921.1,7057.4,7360.1,8604.6,8807.5,8593.3
2017/10/1 9:15,5683.3,7623.7,6939.7,7076.8,7381.3,8617.9,8829.6,8613.9
2017/10/1 9:30,5695.5,7637.9,6955.8,7093.7,7400.4,8626.5,8848,8630.2
2017/10/1 9:45,5706.9,7650.8,6970.4,7109.1,7418.1,8632.1,8863.7,8644
2017/10/1 10:00,5715.1,7659.3,6981.6,7121.1,7432.2,8629.8,8875.7,8654.2
2017/10/1 10:15,5711.2,7655.6,6980.3,7117.6,7433.8,8599.7,8871,8646.8
2017/10/1 10:30,5705.2,7648.8,6974.7,7109.6,7431.4,8563.8,8858.8,8632.6
2017/10/1 10:45,5706.1,7646.8,6972.6,7106.9,7432.9,8541.2,8847.7,8621.8
2017/10/1 11:00,5705.9,7641.4,6968.5,7102.8,7432,8511.9,8834.6,8611.7
2017/10/1 11:15,5703.4,7634.7,6962.6,7097.1,7429,8483.1,8818.5,8599.9
2017/10/1 11:30,5699.9,7626.7,6955.1,7090.1,7424.4,8453,8799.9,8586.5
2017/10/1 11:45,5696.6,7617.7,6946.4,7082,7418.6,8419.8,8779.2,8571.4
2017/10/1 12:00,5693.3,7606.9,6935.9,7072.5,7411.4,8379.1,8756.6,8553.1
2017/10/1 12:15,5691.1,7596.3,6924.3,7062.1,7403.4,8335.3,8732.1,8532
2017/10/1 12:30,5688.1,7583.5,6910.6,7050.5,7393.8,8288.9,8704.9,8507.9
2017/10/1 12:45,5682.8,7566.6,6894.1,7037,7382.4,8240,8674.1,8480.3
2017/10/1 13:00,5679.5,7558.4,6884.4,7030.1,7377.3,8223.6,8647.3,8464.5
2017/10/1 13:15,5678.4,7554.6,6881.8,7029.3,7377.7,8220.9,8628.6,8463.4
2017/10/1 13:30,5678.3,7553.1,6883.8,7032.3,7381.4,8225.2,8616.5,8471.5
2017/10/1 13:45,5678.2,7551.9,6888.1,7036.9,7386.3,8230.4,8609.4,8483.9
2017/10/1 14:00,5685.1,7557.4,6900.8,7049.5,7399.1,8242.7,8614,8505.2
2017/10/1 14:15,5696.6,7567.4,6920.3,7068.8,7418.1,8261,8630.5,8535.6
2017/10/1 14:30,5710.8,7582.1,6946.4,7093.6,7442.8,8287.5,8658,8574.8
2017/10/1 14:45,5726,7601.1,6978,7122.6,7471.6,8322.6,8694.5,8621.2
2017/10/1 15:00,5736.3,7610.8,6999.2,7142.7,7490.4,8339.6,8724.2,8656.5
2017/10/1 15:15,5744.4,7619.3,7014.6,7157.6,7504.2,8355.7,8745.7,8681.7
2017/10/1 15:30,5752.2,7628,7027.2,7169.9,7515.9,8372.2,8762.2,8701.8
2017/10/1 15:45,5761.3,7638.3,7039.7,7182.1,7528.1,8390.4,8776.9,8721.2
2017/10/1 16:00,5775.7,7651.5,7059.1,7201.4,7548.1,8409.5,8798.9,8746.4
2017/10/1 16:15,5792.9,7666.4,7083.6,7226.3,7573.4,8429.3,8829.9,8777.2
2017/10/1 16:30,5811.2,7682.1,7111.1,7254.3,7601.5,8450.1,8866.5,8811.5
2017/10/1 16:45,5829,7698.2,7139.4,7283,7629.8,8472,8905.9,8847
2017/10/1 17:00,5846.9,7714.5,7167.8,7312,7658.3,8494,8946.6,8882.6
2017/10/1 17:15,5865.1,7731.2,7196.5,7341.3,7686.9,8516.5,8987.8,8918.4
2017/10/1 17:30,5883.4,7748.3,7225.3,7370.8,7715.9,8539.6,9029.5,8954.4
2017/10/1 17:45,5901.9,7766,7254.5,7400.5,7745,8563.5,9071.4,8990.7
2017/10/1 18:00,5914.9,7779.4,7276.6,7423.2,7766.8,8583.6,9105.1,9020.2
2017/10/1 18:15,5924.8,7790.8,7293.2,7440.1,7783.2,8601.7,9129.3,9042.4
2017/10/1 18:30,5933.4,7801.4,7306.7,7453.9,7796.8,8618.5,9147.2,9060.4
2017/10/1 18:45,5942.8,7812.1,7319.6,7466.9,7810.3,8634.7,9162.2,9077.1
2017/10/1 19:00,5955.3,7825.2,7336.4,7483.9,7828.1,8652.6,9180.5,9097.7
2017/10/1 19:15,5969.5,7839.3,7356.4,7504.2,7848.9,8671.4,9203.6,9122.2
2017/10/1 19:30,5984.2,7853.8,7378,7526.1,7871.2,8690.6,9229.7,9149.1
2017/10/1 19:45,5998.5,7868,7399.9,7548.4,7893.6,8709.7,9257.2,9176.5
2017/10/1 20:00,6009.7,7880.4,7417.8,7566.6,7911.6,8727.5,9280.4,9200.1
2017/10/1 20:15,6020.1,7893.6,7433.2,7582.4,7927.4,8747.6,9298.6,9220.4
2017/10/1 20:30,6030.9,7908.4,7447.9,7597.2,7942.7,8770.3,9313.9,9239.4
2017/10/1 20:45,6043.1,7925.4,7463.5,7612.9,7959.2,8796.3,9328.3,9259.1
2017/10/1 21:00,6055.9,7943.3,7479.7,7629.2,7976.5,8823.6,9342.3,9279.8
2017/10/1 21:15,6068.3,7960.4,7495.8,7645.5,7993.6,8849.6,9356,9300.5
2017/10/1 21:30,6080.3,7976.8,7511.7,7661.5,8010.4,8874.1,9369.4,9320.9
2017/10/1 21:45,6091.8,7992.4,7527.1,7677,8026.7,8896.8,9382.4,9340.8
2017/10/1 22:00,6106.4,8010.2,7546.4,7696.5,8047.1,8920.9,9400,9364.4
2017/10/1 22:15,6122.7,8028.9,7568.8,7719.2,8070.6,8945.5,9423.2,9392.1
2017/10/1 22:30,6139.5,8047.9,7592.9,7743.7,8095.5,8970.1,9449.9,9422.1
2017/10/1 22:45,6155.8,8066.6,7617.3,7768.4,8120.3,8994.6,9478.2,9452.7
2017/10/1 23:00,6174.3,8087,7644.4,7796.1,8148,9020,9510.5,9486
2017/10/1 23:15,6193.9,8107.3,7673.8,7826,8177.9,9044.6,9547.2,9522.4
2017/10/1 23:30,6212.8,8126.7,7703.4,7856.2,8207.7,9067.7,9586,9559.4
2017/10/1 23:45,6231.3,8145.3,7733,7886.4,8237.2,9089.3,9625.8,9596.3
2017/10/2 0:00,6247.4,8162.1,7759.5,7913.5,8263.6,9109.5,9662.7,9630.3
2017/10/2 0:15,6263.4,8180.3,7784.6,7939.1,8288.6,9132.2,9696.4,9662.1
2017/10/2 0:30,6280,8200.4,7809.5,7964.5,8313.8,9158.1,9728.3,9693.4
2017/10/2 0:45,6297.9,8222.5,7835.3,7990.7,8340.1,9187.5,9759.8,9725.8
2017/10/2 1:00,6317.6,8246.8,7863.4,8019.2,8368.8,9219.5,9792.9,9760.5
2017/10/2 1:15,6337.9,8271.1,7892.7,8049.1,8398.7,9251.3,9827.9,9797.1
2017/10/2 1:30,6358.1,8295.2,7922.6,8079.5,8429.1,9282.5,9864.1,9834.5
2017/10/2 1:45,6377.9,8318.9,7952.4,8109.8,8459.2,9312.7,9900.7,9871.9
2017/10/2 2:00,6393,8338.6,7976.2,8134.1,8483,9339,9930.8,9903.4
2017/10/2 2:15,6405.1,8356.3,7995.1,8153.4,8501.9,9363,9952.9,9928.4
2017/10/2 2:30,6417.1,8373.6,8012.1,8170.5,8519.3,9385.9,9970.6,9950.6
2017/10/2 2:45,6428.8,8390.5,8028,8186.7,8536,9407.8,9985.6,9971.4
2017/10/2 3:00,6440.1,8406.3,8043.3,8202.1,8552.1,9427.8,9999.1,9991.2
2017/10/2 3:15,6450.3,8420.3,8057.6,8216.5,8567.1,9444.5,10012,10010
2017/10/2 3:30,6459.6,8432.4,8070.8,8229.9,8581.1,9457.9,10023,10027
2017/10/2 3:45,6467.8,8442.5,8082.9,8242.1,8593.8,9468,10033,10043
2017/10/2 4:00,6474,8450.3,8092.5,8251.9,8604,9474.9,10041,10056
2017/10/2 4:15,6479.3,8457.2,8100.5,8259.9,8612.5,9480.7,10046,10067
2017/10/2 4:30,6484.2,8463.5,8107.4,8266.8,8620.1,9485.5,10050,10077
2017/10/2 4:45,6488.9,8469.5,8113.9,8273.3,8627.5,9489.8,10053,10086
2017/10/2 5:00,6495.7,8476.8,8122.9,8282.4,8637.5,9495.2,10058,10097
2017/10/2 5:15,6503.8,8484.8,8134.2,8293.8,8649.7,9501.1,10067,10111
2017/10/2 5:30,6511.5,8492.4,8146.1,8305.8,8662.3,9507,10078,10126
2017/10/2 5:45,6519.2,8500,8158.3,8318.1,8675,9512.8,10090,10142
2017/10/2 6:00,6528,8508.4,8171.8,8331.9,8689.2,9519.5,10104,10159
2017/10/2 6:15,6537.4,8517.1,8186.5,8346.8,8704.4,9526.7,10120,10177
2017/10/2 6:30,6546.9,8525.9,8201.8,8362.4,8720.1,9534.2,10138,10197
2017/10/2 6:45,6556.2,8534.7,8217.1,8378,8735.7,9541.8,10156,10216
2017/10/2 7:00,6566.7,8544.5,8234,8395.1,8752.9,9550.6,10176,10237
2017/10/2 7:15,6577.9,8554.8,8252.1,8413.5,8771.3,9560,10198,10260
2017/10/2 7:30,6589.4,8565.3,8270.8,8432.6,8790.2,9570.1,10221,10283
2017/10/2 7:45,6600.7,8575.9,8289.7,8451.9,8809.2,9580.5,10245,10307
2017/10/2 8:00,6610.9,8585.7,8307.1,8469.7,8826.7,9590.2,10267,10329
2017/10/2 8:15,6620.4,8595,8323.4,8486.4,8843.1,9599.5,10288,10350
2017/10/2 8:30,6629.7,8604.2,8339.1,8502.3,8858.8,9608.7,10307,10370
2017/10/2 8:45,6639.1,8613.4,8354.6,8518.2,8874.5,9618,10326,10390
2017/10/2 9:00,6641.4,8614.2,8361.8,8525.8,8882.1,9614.1,10336,10399
2017/10/2 9:15,6638.9,8610.2,8361.7,8526.2,8882.9,9602.5,10335,10397
2017/10/2 9:30,6633.9,8603.2,8357,8522,8879.8,9585.5,10326,10388
2017/10/2 9:45,6628.5,8594.9,8350.5,8515.8,8875.2,9565.4,10312,10376
2017/10/2 10:00,6621.1,8583.4,8341.9,8507.5,8868.7,9538.9,10296,10361
2017/10/2 10:15,6602.9,8561.2,8322.4,8485.5,8851.1,9487.1,10265,10331
2017/10/2 10:30,6583.3,8537,8299.9,8460,8830.8,9431.4,10227,10296
2017/10/2 10:45,6571,8518.5,8281.3,8440.5,8814.8,9390.6,10192,10264
2017/10/2 11:00,6557.7,8497,8261,8419.9,8796.8,9343.9,10154,10234
2017/10/2 11:15,6542.1,8474,8239,8397.7,8776.6,9297.5,10114,10202
2017/10/2 11:30,6525.4,8449.6,8215.3,8374.1,8754.7,9249.4,10072,10169
2017/10/2 11:45,6508.8,8424,8190.1,8349.3,8731.5,9198.1,10027,10133
2017/10/2 12:00,6493.9,8400.7,8167.1,8326.8,8710.3,9153.8,9983.9,10101
2017/10/2 12:15,6480.3,8378.5,8145.8,8306.1,8690.6,9112,9943.2,10072
2017/10/2 12:30,6466.2,8355.3,8124.8,8286.1,8671.2,9070.8,9903.6,10044
2017/10/2 12:45,6450.3,8329.4,8102.8,8265.2,8651,9028.2,9863.7,10015
2017/10/2 13:00,6438.8,8312.5,8088.4,8251.5,8637.8,9008.7,9831,9997.8
2017/10/2 13:15,6431.4,8301.6,8081.7,8244.7,8631.1,9002.4,9808.4,9993.8
